long,lat,order,hole,piece,id,group
-58.477115,-34.595115,1,FALSE,1,Agronomia,Agronomia.1
-58.477879,-34.597088,2,FALSE,1,Agronomia,Agronomia.1
-58.478347,-34.598342,3,FALSE,1,Agronomia,Agronomia.1
-58.47858,-34.598965,4,FALSE,1,Agronomia,Agronomia.1
-58.478831,-34.599671,5,FALSE,1,Agronomia,Agronomia.1
-58.479747,-34.599276,6,FALSE,1,Agronomia,Agronomia.1
-58.48078,-34.598831,7,FALSE,1,Agronomia,Agronomia.1
-58.482127,-34.598251,8,FALSE,1,Agronomia,Agronomia.1
-58.482843,-34.597943,9,FALSE,1,Agronomia,Agronomia.1
-58.482984,-34.597885,10,FALSE,1,Agronomia,Agronomia.1
-58.482999,-34.597881,11,FALSE,1,Agronomia,Agronomia.1
-58.483288,-34.597795,12,FALSE,1,Agronomia,Agronomia.1
-58.483456,-34.597758,13,FALSE,1,Agronomia,Agronomia.1
-58.483462,-34.597757,14,FALSE,1,Agronomia,Agronomia.1
-58.484853,-34.597635,15,FALSE,1,Agronomia,Agronomia.1
-58.485181,-34.597607000000004,16,FALSE,1,Agronomia,Agronomia.1
-58.48613,-34.597537,17,FALSE,1,Agronomia,Agronomia.1
-58.486486,-34.597511,18,FALSE,1,Agronomia,Agronomia.1
-58.48668,-34.597497,19,FALSE,1,Agronomia,Agronomia.1
-58.487143,-34.597463,20,FALSE,1,Agronomia,Agronomia.1
-58.487353,-34.597447,21,FALSE,1,Agronomia,Agronomia.1
-58.487798,-34.597416,22,FALSE,1,Agronomia,Agronomia.1
-58.487824,-34.597414,23,FALSE,1,Agronomia,Agronomia.1
-58.488544,-34.597364,24,FALSE,1,Agronomia,Agronomia.1
-58.489526,-34.597296,25,FALSE,1,Agronomia,Agronomia.1
-58.490185,-34.59725,26,FALSE,1,Agronomia,Agronomia.1
-58.491217,-34.597181,27,FALSE,1,Agronomia,Agronomia.1
-58.492489,-34.597095,28,FALSE,1,Agronomia,Agronomia.1
-58.492819,-34.597073,29,FALSE,1,Agronomia,Agronomia.1
-58.492908,-34.597067,30,FALSE,1,Agronomia,Agronomia.1
-58.493417,-34.597033,31,FALSE,1,Agronomia,Agronomia.1
-58.494715,-34.596948,32,FALSE,1,Agronomia,Agronomia.1
-58.496784,-34.596811,33,FALSE,1,Agronomia,Agronomia.1
-58.497127,-34.596788,34,FALSE,1,Agronomia,Agronomia.1
-58.497174,-34.596817,35,FALSE,1,Agronomia,Agronomia.1
-58.498384,-34.596368,36,FALSE,1,Agronomia,Agronomia.1
-58.49955,-34.595934,37,FALSE,1,Agronomia,Agronomia.1
